C:\Users\nickb\PACCS\Scripts\python.exe C:/Users/nickb/PycharmProjects/PACCS_Data/course_blocks/real_blocks.py
0.52 315 ['B AD1010', 'ACCT2113', 'MIS2113'] 	 0.9 Sophomore 	 0.17 Finance
0.52 285 ['B AD1010', 'ACCT2113', 'B AD2091'] 	 0.84 Sophomore 	 0.17 Finance
0.42 266 ['B AD1010', 'ACCT2113', 'ECON2843'] 	 0.79 Sophomore 	 0.18 Business-Undecided
0.45 246 ['B AD1010', 'MIS2113', 'B AD2091'] 	 0.91 Sophomore 	 0.18 Finance
0.39 236 ['B AD1010', 'ECON2843', 'MIS2113'] 	 0.9 Sophomore 	 0.18 Business-Undecided
0.4 219 ['ACCT2113', 'MIS2113', 'B AD2091'] 	 0.91 Sophomore 	 0.17 Finance
0.39 212 ['B AD1010', 'ECON2843', 'B AD2091'] 	 0.84 Sophomore 	 0.19 Finance
0.34 206 ['ACCT2113', 'ECON2843', 'MIS2113'] 	 0.88 Sophomore 	 0.17 Finance
0.39 198 ['B AD1010', 'ACCT2113', 'MATH2123'] 	 0.79 Sophomore 	 0.2 Finance
0.35 189 ['ACCT2113', 'ECON2843', 'B AD2091'] 	 0.83 Sophomore 	 0.18 Business-Undecided
0.14 181 ['ENGL1113', 'UCOL1002', 'PSY1113'] 	 1.0 Freshman 	 0.14 Biology
0.33 179 ['ECON2843', 'MIS2113', 'B AD2091'] 	 0.87 Sophomore 	 0.18 Business-Undecided
0.41 171 ['MKT3013', 'L S3323', 'MGT3013'] 	 0.78 Junior 	 0.19 Marketing
0.19 169 ['ENGL1113', 'UCOL1002', 'MATH1643'] 	 0.99 Freshman 	 0.3 Business-Undecided
0.32 166 ['B AD1010', 'MIS2113', 'MATH2123'] 	 0.89 Sophomore 	 0.2 Finance
0.18 162 ['B AD1000', 'MATH1643', 'ECON1113'] 	 0.94 Freshman 	 0.44 Business-Undecided
0.18 156 ['MATH1743', 'B AD1000', 'ECON1113'] 	 0.95 Freshman 	 0.4 Business-Undecided
0.21 154 ['ENGL1113', 'CHEM1315', 'ENGR1411'] 	 0.96 Freshman 	 0.27 Mechanical Engineering
0.17 152 ['ENGL1113', 'UCOL1002', 'B AD1000'] 	 0.98 Freshman 	 0.39 Business-Undecided
0.28 150 ['B AD1010', 'ACCT2113', 'PHIL1273'] 	 0.77 Sophomore 	 0.2 Business-Undecided
0.29 149 ['B AD1010', 'B AD2091', 'MATH2123'] 	 0.81 Sophomore 	 0.21 Finance
0.18 147 ['B AD1000', 'ECON1113', 'COMM1113'] 	 0.96 Freshman 	 0.44 Business-Undecided
0.28 146 ['ACCT2113', 'MIS2113', 'MATH2123'] 	 0.88 Sophomore 	 0.18 Finance
0.28 143 ['B AD1010', 'ECON2843', 'MATH2123'] 	 0.77 Sophomore 	 0.22 Finance
0.16 142 ['UCOL1002', 'B AD1000', 'ECON1113'] 	 0.98 Freshman 	 0.42 Business-Undecided
0.16 141 ['UCOL1002', 'B AD1000', 'MATH1643'] 	 0.99 Freshman 	 0.45 Business-Undecided
0.33 135 ['MKT3013', 'L S3323', 'FIN3303'] 	 0.73 Junior 	 0.2 Finance
0.15 133 ['ENGL1113', 'B AD1000', 'ECON1113'] 	 0.98 Freshman 	 0.44 Business-Undecided
0.88 130 ['P E4521', 'P E4712', 'P E4533'] 	 0.99 Senior 	 0.98 Petroleum Engineering
0.25 129 ['ACCT2113', 'ECON2843', 'MATH2123'] 	 0.77 Sophomore 	 0.21 Business-Undecided
0.25 126 ['ACCT2113', 'B AD2091', 'MATH2123'] 	 0.79 Sophomore 	 0.22 Finance
0.17 125 ['B AD1000', 'ECON1113', 'B AD1001'] 	 0.78 Freshman 	 0.38 Business-Undecided
0.14 123 ['ENGL1113', 'B AD1000', 'MATH1643'] 	 0.98 Freshman 	 0.45 Business-Undecided
0.23 123 ['B AD1010', 'B AD2091', 'PHIL1273'] 	 0.85 Sophomore 	 0.2 Accounting
0.81 122 ['P E4521', 'P E4323', 'P E4712'] 	 1.0 Senior 	 0.91 Petroleum Engineering
0.46 120 ['CHEM1315', 'ENGR1411', 'MATH1914'] 	 0.94 Freshman 	 0.23 Mechanical Engineering
0.23 120 ['B AD1010', 'MIS2113', 'PHIL1273'] 	 0.88 Sophomore 	 0.2 Finance
0.81 117 ['P E4521', 'P E4712', 'GPHY3423'] 	 1.0 Senior 	 0.91 Petroleum Engineering
0.79 116 ['P E4521', 'P E4323', 'P E4533'] 	 1.0 Senior 	 0.98 Petroleum Engineering
0.14 115 ['B AD1000', 'MATH1643', 'COMM1113'] 	 0.93 Freshman 	 0.48 Business-Undecided
0.16 114 ['UCOL1002', 'B AD1000', 'B AD1001'] 	 0.96 Freshman 	 0.44 Business-Undecided
0.22 114 ['MIS2113', 'B AD2091', 'MATH2123'] 	 0.82 Sophomore 	 0.21 Finance
0.22 114 ['ECON2843', 'MIS2113', 'MATH2123'] 	 0.84 Sophomore 	 0.21 Marketing
0.82 114 ['AME3112', 'AME3143', 'AME3153'] 	 0.65 Junior 	 0.97 Mechanical Engineering
0.77 112 ['P E4521', 'P E4533', 'GPHY3423'] 	 1.0 Senior 	 0.98 Petroleum Engineering
0.77 112 ['P E4521', 'P E4323', 'GPHY3423'] 	 1.0 Senior 	 0.9 Petroleum Engineering
0.76 111 ['P E4323', 'P E4712', 'P E4533'] 	 1.0 Senior 	 0.98 Petroleum Engineering
0.09 111 ['ENGL1113', 'UCOL1002', 'SOC1113'] 	 0.99 Freshman 	 0.21 Business-Undecided
0.8 111 ['AME3112', 'AME3723', 'AME3153'] 	 0.63 Junior 	 0.98 Mechanical Engineering
0.21 111 ['ACCT2113', 'MIS2113', 'PHIL1273'] 	 0.85 Sophomore 	 0.19 Accounting
0.74 108 ['P E4712', 'P E4533', 'GPHY3423'] 	 1.0 Senior 	 0.98 Petroleum Engineering
0.74 108 ['P E4323', 'P E4712', 'GPHY3423'] 	 1.0 Senior 	 0.89 Petroleum Engineering
0.67 108 ['AME3112', 'AME3143', 'AME3723'] 	 0.65 Junior 	 0.98 Mechanical Engineering
0.2 106 ['ACCT2113', 'B AD2091', 'PHIL1273'] 	 0.84 Sophomore 	 0.18 Accounting
0.69 104 ['PHYS2524', 'AME2213', 'AME2113'] 	 0.73 Sophomore 	 0.55 Mechanical Engineering
0.13 104 ['ENGL1113', 'B AD1000', 'COMM1113'] 	 0.96 Freshman 	 0.53 Business-Undecided
0.12 103 ['UCOL1002', 'MATH1643', 'ECON1113'] 	 1.0 Freshman 	 0.5 Business-Undecided
0.12 103 ['UCOL1002', 'B AD1000', 'COMM1113'] 	 0.99 Freshman 	 0.47 Business-Undecided
0.26 103 ['CHEM1315', 'ENGR1411', 'MATH1823'] 	 0.99 Freshman 	 0.26 Mechanical Engineering
0.74 103 ['AME3143', 'AME3723', 'AME3153'] 	 0.64 Junior 	 0.97 Mechanical Engineering
0.7 102 ['P E4323', 'P E4533', 'GPHY3423'] 	 1.0 Senior 	 0.98 Petroleum Engineering
0.14 102 ['B AD1010', 'ACCT2113', 'B AD1001'] 	 0.64 Sophomore 	 0.23 Business-Undecided
0.12 101 ['MATH1743', 'B AD1000', 'COMM1113'] 	 0.94 Freshman 	 0.42 Business-Undecided
0.19 100 ['ECON2843', 'B AD2091', 'MATH2123'] 	 0.77 Sophomore 	 0.24 Finance
0.18 98 ['B AD1010', 'ECON2843', 'PHIL1273'] 	 0.77 Sophomore 	 0.22 Business-Undecided
0.24 97 ['MKT3013', 'MGT3013', 'FIN3303'] 	 0.7 Junior 	 0.15 Finance
0.12 96 ['MATH1643', 'ECON1113', 'COMM1113'] 	 0.93 Freshman 	 0.49 Business-Undecided
0.86 96 ['CH E3473', 'CH E3123', 'CH E3723'] 	 0.58 Junior 	 0.75 Chemical Engineering-Standard
0.13 95 ['MATH1743', 'B AD1000', 'B AD1001'] 	 0.78 Freshman 	 0.4 Business-Undecided
0.13 92 ['B AD1000', 'COMM1113', 'B AD1001'] 	 0.75 Freshman 	 0.45 Business-Undecided
0.1 91 ['UCOL1002', 'PSY1113', 'BIOL1114'] 	 0.98 Freshman 	 0.43 Pre-Nursing Studies
0.11 91 ['MATH1743', 'ECON1113', 'COMM1113'] 	 0.96 Freshman 	 0.42 Business-Undecided
0.12 91 ['B AD1000', 'MATH1643', 'B AD1001'] 	 0.79 Freshman 	 0.43 Business-Undecided
