190 ['B AD1010', 'ACCT2113', 'ECON2843', 'MIS2113'] 0.9 Sophomore 0.17 Finance
74 ['UCOL1002', 'B AD1000', 'MATH1643', 'ECON1113'] 1.0 Freshman 0.45 Business-Undecided
70 ['MATH1743', 'B AD1000', 'ECON1113', 'COMM1113'] 1.0 Freshman 0.4 Business-Undecided
66 ['UCOL1002', 'B AD1000', 'ECON1113', 'B AD1001'] 0.97 Freshman 0.41 Business-Undecided
65 ['ENGL1113', 'UCOL1002', 'B AD1000', 'MATH1643'] 0.98 Freshman 0.46 Business-Undecided
65 ['B AD1000', 'MATH1643', 'ECON1113', 'COMM1113'] 0.97 Freshman 0.52 Business-Undecided
64 ['ENGL1113', 'UCOL1002', 'B AD1000', 'ECON1113'] 0.98 Freshman 0.38 Business-Undecided
60 ['ENGL1113', 'B AD1000', 'MATH1643', 'ECON1113'] 1.0 Freshman 0.45 Business-Undecided
58 ['ENGL1113', 'UCOL1002', 'B AD1000', 'B AD1001'] 0.95 Freshman 0.45 Business-Undecided
57 ['UCOL1002', 'MATH1743', 'B AD1000', 'ECON1113'] 0.96 Freshman 0.46 Business-Undecided
57 ['ENGL1113', 'MATH1743', 'B AD1000', 'ECON1113'] 1.0 Freshman 0.49 Business-Undecided
53 ['ENGL1113', 'B AD1000', 'ECON1113', 'COMM1113'] 1.0 Freshman 0.45 Business-Undecided
52 ['UCOL1002', 'B AD1000', 'MATH1643', 'B AD1001'] 0.98 Freshman 0.44 Business-Undecided
51 ['UCOL1002', 'B AD1000', 'ECON1113', 'COMM1113'] 1.0 Freshman 0.47 Business-Undecided
50 ['B AD1000', 'MATH1643', 'ECON1113', 'B AD1001'] 0.86 Freshman 0.44 Business-Undecided
48 ['UCOL1002', 'B AD1000', 'MATH1643', 'COMM1113'] 0.98 Freshman 0.46 Business-Undecided
48 ['UCOL1002', 'B AD1000', 'COMM1113', 'B AD1001'] 0.98 Freshman 0.48 Business-Undecided
48 ['MATH1743', 'B AD1000', 'ECON1113', 'B AD1001'] 0.88 Freshman 0.4 Business-Undecided
48 ['ENGL1113', 'B AD1000', 'MATH1643', 'COMM1113'] 0.96 Freshman 0.54 Business-Undecided
47 ['ENGL1113', 'UCOL1002', 'MATH1643', 'ECON1113'] 1.0 Freshman 0.47 Business-Undecided
46 ['B AD1000', 'ECON1113', 'COMM1113', 'B AD1001'] 0.89 Freshman 0.48 Business-Undecided
43 ['ENGL1113', 'UCOL1002', 'PSY1113', 'MATH1643'] 1.0 Freshman 0.26 Psychology
42 ['ENGL1113', 'UCOL1002', 'MATH1743', 'B AD1000'] 0.98 Freshman 0.38 Business-Undecided
42 ['ENGL1113', 'UCOL1002', 'B AD1000', 'COMM1113'] 0.98 Freshman 0.67 Business-Undecided
42 ['ENGL1113', 'B AD1000', 'ECON1113', 'B AD1001'] 0.95 Freshman 0.48 Business-Undecided
41 ['B AD1010', 'ACCT2113', 'B AD1001', 'ECON2843'] 0.66 Sophomore 0.24 Finance
39 ['UCOL1002', 'MATH1643', 'ECON1113', 'B AD1001'] 1.0 Freshman 0.46 Business-Undecided
38 ['UCOL1002', 'MATH1743', 'B AD1000', 'B AD1001'] 0.95 Freshman 0.45 Business-Undecided
